F_std_final,F_std_mean,F_std_temporal_std,N,alive_density_final,alive_density_mean,alive_density_temporal_std,cog_load_final,cog_load_mean,cog_load_temporal_std,cog_specificity_final,cog_specificity_mean,cog_specificity_temporal_std,config_idx,correlation_length_final,correlation_length_mean,correlation_length_temporal_std,dyn_excess_pc_final,dyn_excess_pc_slope,eg_excess_pc_final,eg_excess_pc_slope,error,excess_activity_final,excess_activity_slope,excess_pc_final,excess_pc_slope,extinct,final_pop,init,largest_patch_final,largest_patch_mean,largest_patch_temporal_std,mean_intake_final,mean_intake_mean,mean_intake_temporal_std,min_pop,n_distinct_genomes_final,n_distinct_genomes_mean,n_distinct_genomes_temporal_std,n_patches_final,n_patches_mean,n_patches_temporal_std,n_steps,negene_final,negene_mean,negene_temporal_std,param_food_inc,param_gdiff,param_m_scale,param_mu_egene,param_mu_egenome,param_mu_lut,param_restricted_mu,param_tax,param_tax_per_egene,seed,shadow,unique_top_genomes
0.0,0.003405069891380629,0.021443337904259133,256,0.0,0.0067095344449266976,0.05536003304423478,0.0,1.0284960240493586,6.97363773663296,0.0,0.5078904187237775,3.267076984669376,11,0.0,2.8395061728395063,17.962551435615218,-2020.0,-0.04238762191294218,-400.0,-0.01241586840037544,,0.0,0.288607046070461,0.0,0.00010130117447190612,True,0,halfplane,0.0,415.3333333333333,3618.425167301105,0.0,0.0006023683113816344,0.005387745966964381,0,0.0,35.18518518518518,314.59407947742693,0.0,2.728395061728395,24.29195484648526,8000,0.0,0.05694872361539028,0.4126093558169515,0.005,0.05,2.5,0.01,0.03,0.06,False,0.04,0.0008,0,True,2
0.0,0.002845974064167635,0.017886779514029262,256,0.0,0.006178490909529321,0.055210946289431,0.0,0.5810699698365764,3.659232851469509,0.0,0.5640432098765432,3.561111860112186,13,0.0,1.3950617283950617,11.313358227286257,-2677.0,-0.2092328364950318,-2519.5,-0.061175264550264535,,0.0,0.0,0.0,0.0,True,0,halfplane,0.0,404.5679012345679,3618.3417146405527,0.0,-0.00012802029097521746,0.0011450482924795567,0,0.0,0.38271604938271603,3.31315336434466,0.0,0.37037037037037035,3.2027937050560684,8000,0.0,0.025514403292181066,0.1604410591738101,0.005,0.05,3.5,0.003,0.003,0.03,False,0.03,0.0008,0,True,2
0.0,0.0023175101543282286,0.019370217496358002,256,0.0,0.0061737814067322535,0.05521145033495876,0.0,0.5753086466848114,3.6256129891669717,0.0,0.499118169148763,3.2257876634935228,21,0.0,1.271604938271605,11.262318189627749,-2170.0,-0.11939030036133681,-3602.0,-0.06764543812104766,,0.0,0.0,0.0,0.0,True,0,halfplane,0.0,404.55555555555554,3618.3430898754455,0.0,0.00031787593975479223,0.0028431688388133734,0,0.0,0.07407407407407407,0.561694477337152,0.0,0.07407407407407407,0.561694477337152,8000,0.0,0.029629629629629627,0.18885257457751056,0.008,0.06,3.5,0.003,0.01,0.15,True,0.035,0.0008,0,True,2
0.0,0.0031090237108277684,0.023607699893447742,256,0.0,0.006514937789351852,0.055258075145185534,0.0,1.1643688060619213,8.103951862192986,0.0,0.5720764442726418,3.6069368166257547,19,0.0,2.8395061728395063,17.962551435615218,-2331.0,-0.05054746747967467,-205.0,-0.044903358960953446,,0.0,0.0,0.0,0.0,True,0,halfplane,0.0,412.5308641975309,3618.1567406159575,0.0,0.00043653958925494443,0.0039045287857755705,0,0.0,22.432098765432098,200.52701786940128,0.0,2.925925925925926,26.058707593175303,8000,0.0,0.05244874095828574,0.3739833022433872,0.008,0.05,2.5,0.003,0.03,0.15,True,0.035,0.0008,0,True,2
0.0,0.002747615143932678,0.017257822873477956,256,0.0,0.006406807605131173,0.05522505406221887,0.0,0.8863640773443529,5.827966807278067,0.0,0.5754812735098379,3.6266142313155663,20,0.0,2.8395061728395063,17.962551435615218,-39423.0,-0.7258352164036352,-7302.666666666667,-0.13288202732096355,,0.0,0.288607046070461,0.0,0.00023766502785305097,True,0,halfplane,0.0,412.1604938271605,3618.134255767777,0.0,7.719949554697966e-05,0.0006904932794869557,0,0.0,14.88888888888889,133.05851307313847,0.0,1.0740740740740742,9.49564913724822,8000,0.0,0.03907476988529055,0.26208553867236356,0.005,0.05,2.5,0.003,0.003,0.01,False,0.035,0.0,0,True,2
0.0,0.003111502030622904,0.019451499418284522,256,0.0,0.006549222969714506,0.055272074839119445,0.0,1.3269195556640625,9.483847402743573,0.0,0.5704173806272907,3.5974030610710717,9,0.0,2.8395061728395063,17.962551435615218,-4059.0,-0.08250023581727518,-747980.0,-13.3467340104953,,0.0,0.288607046070461,0.0,0.00014670516309022976,True,0,halfplane,0.0,412.30864197530866,3618.142885760202,0.0,7.661342919792658e-05,0.0006852513427037239,0,0.0,24.679012345679013,220.62402112036858,0.0,2.234567901234568,19.875086212989988,8000,0.0,0.060369010986294935,0.4421614355065051,0.005,0.08,2.5,0.003,0.01,0.03,True,0.04,0.0,0,True,2
0.0,0.0038541514932373426,0.03447257893784408,256,0.0,0.007105886200327932,0.05573547166038681,0.0,1.2711113823784723,9.007466977984286,0.0,0.5313417411144868,3.3839230750349083,14,0.0,2.8395061728395063,17.962551435615218,-4702.0,-0.09039941539620754,-3221.5,-0.05802870104681426,,0.0,0.288607046070461,0.0,6.003431615335622e-05,True,0,halfplane,0.0,462.7037037037037,3649.105543860468,0.0,0.00018307219408912422,0.0016374474830932683,0,0.0,61.160493827160494,546.9242946864533,0.0,1.9135802469135803,17.00413713701535,8000,0.0,0.06570154514161514,0.488491259349762,0.013,0.05,2.5,0.01,0.03,0.03,False,0.04,0.0,0,True,2
0.0,0.012400052981612123,0.058928022585755274,256,0.0,0.010769690996334876,0.06222194792526626,0.0,3.853367369851948,18.347819973025455,0.0,1.0843443222987799,4.780074463988253,6,0.0,5.283950617283951,23.34139255946066,-59241.0,-2.097478014156386,-140975.5,-5.000149603420292,,0.0,0.2919584462511302,0.0,0.00030407314828720703,True,0,halfplane,0.0,652.395061728395,4007.8840717784133,0.0,0.001178859974499102,0.006895156684032999,0,0.0,286.8395061728395,1853.975184997742,0.0,7.530864197530864,42.02118408135164,8000,0.0,0.18181806738595613,0.8736924633856394,0.01,0.08,2.5,0.003,0.01,0.01,True,0.04,0.0,0,True,4
0.0,0.01632377158930916,0.06382495039244712,256,0.0,0.010748969184027778,0.060931895326380256,0.0,4.146022384549364,15.224864249858447,0.0,1.5393606115270544,5.179451312183373,25,0.0,4.753086419753086,20.055189817654718,-8633.0,-1.792111632375318,-27652.8,-1.6294380066374647,,0.0,0.29076671183378455,0.0,5.767055747417222e-05,True,0,halfplane,0.0,571.6172839506173,3702.7876304541783,0.0,0.002550151710754927,0.010627710586542802,0,0.0,299.91358024691357,1759.5821277043492,0.0,7.9753086419753085,41.3989846922206,8000,0.0,0.2538022904803554,0.9655662669289047,0.005,0.08,2.5,0.01,0.01,0.06,False,0.035,0.0,0,True,7
0.0,0.06371507018712567,0.11909018116208756,256,0.0,0.03767470371576003,0.0929928541182552,0.0,14.265969500129605,25.428273118369,0.0,3.7710318388762296,6.711567438760833,28,0.0,15.790123456790123,30.783078584593394,-39626.0,-7.205388194858022,-203737.66666666666,-28.625704289391813,,0.0,0.3062486449864505,0.0,0.00012991252874921844,True,0,halfplane,0.0,1705.7530864197531,4795.16194330186,0.0,0.009503447991094472,0.020589515403998115,0,0.0,1985.4814814814815,4876.837841888617,0.0,50.76543209876543,107.40971190943402,8000,0.0,0.9727165555301496,1.7668599118127344,0.005,0.06,3.5,0.01,0.003,0.01,False,0.03,0.0,0,True,20
0.0,0.0031727427317772383,0.028377873693489136,256,0.0,0.006175853587962963,0.055211224596147794,0.0,0.5756172839506173,3.627403365289844,0.0,0.4795061747233073,3.1386117563485043,34,0.0,1.2839506172839505,11.262561785529522,-2596.0,-0.23560794941282778,-1580.0,-0.028184761743450734,,0.0,0.0,0.0,0.0,True,0,halfplane,0.0,404.5679012345679,3618.3417146405527,0.0,0.00022632633278399337,0.0020243242608129933,0,0.0,0.20987654320987653,1.7688389815873895,0.0,0.18518518518518517,1.5484848118790278,8000,0.0,0.031635802469135804,0.20368032039378295,0.013,0.06,3.5,0.01,0.01,0.03,False,0.04,0.0008,0,True,2
0.0,0.0031298083701619397,0.02593403887692616,256,0.0,0.007200641396604938,0.05585818678911765,0.0,1.3716081218954959,9.866934674691649,0.0,0.582657708062066,3.668571076517391,32,0.0,2.580246913580247,16.221357813751276,-4831.0,-0.0931608094248004,-542924.25,-9.68838062830421,,0.0,0.288607046070461,0.0,5.4747762901955696e-05,True,0,halfplane,0.0,465.71604938271605,3652.710210560784,0.0,0.00014566888825760948,0.0013029021454033433,0,0.0,67.35802469135803,602.3566948807851,0.0,2.6049382716049383,23.18773569636726,8000,0.0,0.060237228920024616,0.44102018096876033,0.01,0.05,2.5,0.003,0.01,0.03,True,0.035,0.0,0,True,2
0.0,0.003376120862401562,0.023029687429480052,256,0.0,0.00725075050636574,0.05592816492834485,0.0,1.2862829514491705,9.136731236502296,0.0,0.5282580999680507,3.368044444715357,31,0.0,2.8395061728395063,17.962551435615218,-5072.0,-0.09579179983179134,-3813.0,-0.06862635913213236,,0.0,0.288607046070461,0.0,5.21753342196131e-05,True,0,halfplane,0.0,469.91358024691357,3658.058124120666,0.0,0.00011270479471595199,0.0010080623295001105,0,0.0,70.65432098765432,631.8396647785748,0.0,3.2098765432098766,28.598418349334004,8000,0.0,0.06730358460522738,0.5024599375783871,0.008,0.08,2.5,0.01,0.03,0.06,True,0.035,0.0,0,True,2
0.34035319089889526,0.3350068336513675,0.053711183672871254,256,0.12384033203125,0.12995778778452932,0.04934043385197932,57.41547393798828,59.032130724118076,6.319106729762199,16.823741912841797,17.045952490818355,1.5001103747678854,23,31.0,36.864197530864196,17.95519326258517,28019.81403921568,3.0294292634788125,160940.61991048913,19.37687925127364,,-2.0,-0.00021251129177958451,-0.00012316779921484056,-2.4970709227308063e-08,False,8116,halfplane,883.0,1922.716049382716,3508.220885800889,0.09127351641654968,0.09325033304408009,0.01874722660493232,21,8112.0,8109.617283950617,1980.9492273106714,723.0,613.1111111111111,142.75879683604114,8000,3.41276490882208,3.4896351524300417,0.41478176616002993,0.013,0.06,2.5,0.003,0.03,0.03,False,0.04,0.0008,0,True,81
