F_std_final,F_std_mean,F_std_temporal_std,N,alive_density_final,alive_density_mean,alive_density_temporal_std,base,cog_load_final,cog_load_mean,cog_load_temporal_std,cog_specificity_final,cog_specificity_mean,cog_specificity_temporal_std,config_idx,correlation_length_final,correlation_length_final_over_mean,correlation_length_mean,correlation_length_temporal_std,dyn_excess_pc_final,dyn_excess_pc_slope,eg_excess_pc_final,eg_excess_pc_slope,error,excess_activity_final,excess_activity_slope,excess_pc_final,excess_pc_slope,extinct,final_pop,init,largest_patch_final,largest_patch_final_over_mean,largest_patch_mean,largest_patch_temporal_std,mean_intake_final,mean_intake_mean,mean_intake_temporal_std,min_pop,n_distinct_genomes_final,n_distinct_genomes_mean,n_distinct_genomes_temporal_std,n_patches_final,n_patches_mean,n_patches_temporal_std,n_steps,negene_final,negene_mean,negene_temporal_std,param_food_inc,param_gdiff,param_m_scale,param_mu_egene,param_mu_lut,param_restricted_mu,param_tax,seed,shadow,unique_top_genomes
0.3530115485191345,0.3532737683166157,0.03480796739959899,256,0.4234771728515625,0.4151523054138688,0.04183503585900194,2026-04-27_top_7_cfg87_score0.60.evoca,23.03567123413086,22.31175805714505,0.7020312257545408,23.03567123413086,22.31175805714505,0.7020312257545408,21,8.0,0.4136752136752137,19.33884297520661,23.58300050271128,235482.37617438694,22.359029239100412,1504981.9341398517,127.89556748295006,,-18160.0,1.9048388429752041,-1.6640292674690205,0.00024723329257664067,False,27753,halfplane,183.0,0.2065751788862871,885.8760330578513,3516.3513691857283,0.0349089577794075,0.034980110639382986,0.00354403996357869,5068,19625.0,18444.03305785124,2850.525014521239,6464.0,5917.099173553719,1059.945814964366,12000,1.0,1.0,0.0,0.015,0.05,0.6,0.01,0.003,True,0.035,0,True,109
0.3538689911365509,0.35320845689655334,0.035075329225054803,256,0.4172821044921875,0.4151333895596591,0.04398096099413805,2026-04-27_top_7_cfg87_score0.60.evoca,23.1284236907959,22.396387352431116,0.7799341896644472,23.1284236907959,22.396387352431116,0.7799341896644472,23,6.0,0.3030050083472454,19.801652892561982,22.40632283649127,316325.97852380946,22.923011324342944,1362094.128598907,128.62815765083906,,-17858.0,1.7899722937271367,-1.6032929375949587,0.00022468762029315118,False,27347,halfplane,178.0,0.18729347107725486,950.3801652892562,3572.262688406115,0.03551815077662468,0.03499475912737452,0.0035767570646112446,4886,19461.0,18483.661157024795,2863.9661644248804,6683.0,5933.123966942148,1069.1253362595976,12000,1.0,1.0,0.0,0.015,0.05,0.6,0.01,0.003,True,0.035,2,True,109
0.3533705770969391,0.35311960927711045,0.03505491242836664,256,0.4170074462890625,0.4148715941373967,0.04328370398027525,2026-04-27_top_7_cfg87_score0.60.evoca,23.112407684326172,22.39277097213367,0.7226774497599926,23.112407684326172,22.39277097213367,0.7226774497599926,22,4.0,0.20482437579348287,19.52892561983471,24.15619776747252,310680.07933727815,22.776208636956802,1573997.5774862824,133.94309220815916,,-17833.0,1.1789473648557103,-1.6333965092940073,0.0001838018198709669,False,27329,halfplane,170.0,0.17066148957529598,996.1239669421487,3740.1591594945808,0.03553825616836548,0.035045106133276764,0.0035726545691605865,4717,19490.0,18481.9173553719,2830.736036010168,6748.0,5938.1322314049585,1064.3607940309655,12000,1.0,1.0,0.0,0.015,0.05,0.6,0.01,0.003,True,0.035,1,True,111
0.3484745919704437,0.34821023268640533,0.035295096387570134,256,0.4236602783203125,0.4120635986328125,0.04972570712900885,2026-04-27_top_9_cfg82_score0.55.evoca,24.792221069335938,24.5924050985289,0.2722744662882391,24.792221069335938,24.5924050985289,0.2722744662882391,29,1.0,0.15143929912390486,6.603305785123967,20.158659660793884,311916.9649139466,26.432254136213526,8794718.146658827,829.23755321009,,11229.0,1.6184048909361874,0.39578940296409915,0.00011742840928918776,False,27765,halfplane,108.0,0.26850215738648037,402.2314049586777,2958.0684192388153,0.03505402430891991,0.03496486533525561,0.0034568557926396336,2792,25564.0,24488.611570247933,3938.8607875460366,7261.0,6707.380165289256,1213.700102215939,12000,1.0,1.0,0.0,0.015,0.05,0.4,0.001,0.01,True,0.035,2,True,107
0.3493770658969879,0.3483169055428387,0.03505179926409979,256,0.4221343994140625,0.4127256535301524,0.048134353008573244,2026-04-27_top_9_cfg82_score0.55.evoca,24.84941291809082,24.64886346927359,0.19859613789564026,24.84941291809082,24.64886346927359,0.19859613789564026,27,1.0,0.14938271604938272,6.694214876033058,19.180673371786263,290502.0208695653,26.235636125643396,9658360.950788751,806.5463743536556,,9227.0,1.4021008670911803,0.31745318560182945,9.475396169983471e-05,False,27665,halfplane,133.0,0.32844868053146115,404.93388429752065,2955.349554175318,0.035211000591516495,0.034926354084625716,0.0034273442633102652,2890,25594.0,24543.06611570248,3844.167946674584,7336.0,6732.479338842975,1196.2194241568482,12000,1.0,1.0,0.0,0.015,0.05,0.4,0.001,0.01,True,0.035,0,True,103
0.3489883840084076,0.34784689927396695,0.035049481297108914,256,0.4244232177734375,0.41284948932237864,0.048265897459420275,2026-04-27_top_9_cfg82_score0.55.evoca,24.856515884399414,24.690086995274566,0.22423911797460913,24.856515884399414,24.690086995274566,0.22423911797460913,28,1.0,0.15837696335078533,6.31404958677686,19.164806354594653,318608.55656716414,26.751989297984125,9092643.224965706,839.316436572054,,9991.0,0.8515367836336541,0.35201810721514093,7.960546208967297e-05,False,27815,halfplane,80.0,0.19946835912547137,401.06611570247935,2956.694261215792,0.03492164984345436,0.03498383599125649,0.0034461291636485405,2952,25632.0,24566.710743801654,3849.5250075950207,7227.0,6754.099173553719,1196.0139403604405,12000,1.0,1.0,0.0,0.015,0.05,0.4,0.001,0.01,True,0.035,1,True,106
0.35287827253341675,0.34971311405177946,0.03447721388809895,256,0.4218292236328125,0.41825967583774537,0.03738375457209651,2026-04-27_top_4_cfg34_score0.63.evoca,23.341869354248047,22.91703180045136,0.5847067860748955,23.341869354248047,22.91703180045136,0.5847067860748955,14,1.0,0.12656903765690375,7.900826446280992,16.016213354787624,282169.8761318051,21.321799585991975,1646691.6148042628,148.3093649721103,,10251.0,-0.007439777807884836,0.37047112994467657,5.840641410131374e-06,False,27645,halfplane,109.0,0.211338471645809,515.7603305785124,3041.1204330004944,0.035483524203300476,0.0348849247001912,0.0032260143852133713,3936,27602.0,27082.289256198346,3495.56184594268,6732.0,6417.322314049587,983.4882111153695,12000,1.0,1.0,0.0,0.015,0.05,0.6,0.01,0.03,True,0.035,2,True,88
0.35186639428138733,0.349548934904997,0.03449940964776251,256,0.4241943359375,0.4177020364556431,0.038573954171522026,2026-04-27_top_4_cfg34_score0.63.evoca,23.326078414916992,22.970755994812517,0.562980322372139,23.326078414916992,22.970755994812517,0.562980322372139,12,1.0,0.12913553895410887,7.743801652892562,16.274265506585547,236324.71923705726,20.856000133510296,1619492.7254345296,143.2607593196068,,9985.0,0.6232287630402388,0.35828690451361833,2.9460847306610107e-05,False,27800,halfplane,263.0,0.5303568154925588,495.89256198347107,3015.969267883993,0.03517399728298187,0.03495052447619517,0.003257582314088952,3734,27771.0,27051.165289256198,3544.915367736584,6696.0,6450.735537190083,993.2806130899838,12000,1.0,1.0,0.0,0.015,0.05,0.6,0.01,0.03,True,0.035,0,True,92
0.3520274758338928,0.349741471823582,0.03472357311541622,256,0.4227752685546875,0.4173716395354468,0.039056076157163326,2026-04-27_top_4_cfg34_score0.63.evoca,23.351139068603516,22.919803871596155,0.5981697481288579,23.351139068603516,22.919803871596155,0.5981697481288579,13,1.0,0.11758989310009717,8.50413223140496,19.04979293913289,263598.8059775281,21.59743458237784,1727705.856735254,146.1442060335768,,9191.0,0.43345996477442134,0.332363679873096,2.336026773545921e-05,False,27707,halfplane,212.0,0.441621044657921,480.0495867768595,2994.792838628656,0.034918755292892456,0.034923065053529975,0.0032464787385142165,3533,27661.0,27028.30578512397,3565.420093577409,6692.0,6440.727272727273,1006.8208947223865,12000,1.0,1.0,0.0,0.015,0.05,0.6,0.01,0.03,True,0.035,1,True,90
0.4566560387611389,0.4506298899650574,0.044435836159495756,256,0.5398712158203125,0.5249265560433884,0.06725103751884065,2026-04-27_top_6_cfg3_score0.61.evoca,23.249286651611328,23.52162253955179,0.38110134128217543,23.249286651611328,23.52162253955179,0.38110134128217543,20,9.0,0.5060408921933086,17.785123966942148,21.394834709746174,175893.75943689316,13.691523302665582,3173377.0113854595,249.0154437577764,,-150482.0,-8.863279027232082,-5.370192105574617,6.364063682400825e-05,False,35381,halfplane,1227.0,0.42513522877931864,2886.1404958677685,5891.177814165191,0.019898856058716774,0.019873078512258766,0.0019437025430434718,10324,23762.0,22540.92561983471,3982.2709480343624,3657.0,3364.223140495868,701.7861213544155,12000,1.0,1.0,0.0,0.015,0.01,0.6,0.001,0.003,False,0.02,2,True,55
0.456001341342926,0.451258523651391,0.04380876840920384,256,0.5411224365234375,0.5249548037190083,0.06393871684360636,2026-04-27_top_6_cfg3_score0.61.evoca,23.586414337158203,23.842971754468177,0.3427623913606489,23.586414337158203,23.842971754468177,0.3427623913606489,19,11.0,0.598740440845704,18.371900826446282,22.233223680560453,180868.38282926835,13.112626376095744,3274631.9582451954,249.3852596000823,,-148752.0,-4.566768527299827,-5.280803365963029,0.00022153970384186804,False,35463,halfplane,2562.0,0.875798454649471,2925.3305785123966,5703.340141246259,0.01966981403529644,0.019875750407453412,0.0019232404727161842,11291,23925.0,22549.03305785124,3890.7365104756836,3707.0,3420.8264462809916,696.1925695136719,12000,1.0,1.0,0.0,0.015,0.01,0.6,0.001,0.003,False,0.02,1,True,63
0.4572979807853699,0.4521864022105193,0.04287495700179415,256,0.533416748046875,0.5274554796455321,0.058323194318065305,2026-04-27_top_6_cfg3_score0.61.evoca,23.75444793701172,23.841889468106356,0.27748543257299313,23.75444793701172,23.841889468106356,0.27748543257299313,18,14.0,0.764785553047404,18.305785123966942,23.337921106509533,162412.62122488033,12.968015164907584,3704149.5240912205,287.5332263611906,,-229641.0,-6.1019270424061895,-8.67703275247433,0.00013437406112368073,False,34958,halfplane,1589.0,0.5287649985286798,3005.115702479339,5630.217901908999,0.020190492272377014,0.019856138108683027,0.0019132832433196162,12788,23545.0,22643.07438016529,3745.0714172212292,3929.0,3470.6363636363635,679.8394681682867,12000,1.0,1.0,0.0,0.015,0.01,0.6,0.001,0.003,False,0.02,0,True,62
