arm,config_idx,determinism_ok,dyn_excess_pc_final,dyn_excess_pc_late_minus_early_mean,dyn_excess_pc_slope,dyn_excess_pc_slope_early,dyn_excess_pc_slope_late,dyn_excess_pc_switch,eg_excess_pc_final,eg_excess_pc_late_minus_early_mean,eg_excess_pc_slope,eg_excess_pc_slope_early,eg_excess_pc_slope_late,eg_excess_pc_switch,error,extinct,final_pop,food_inc,gdiff,m_scale,min_pop,n_distinct_genomes_final,n_distinct_genomes_late_minus_early_mean,n_distinct_genomes_slope,n_distinct_genomes_slope_early,n_distinct_genomes_slope_late,n_distinct_genomes_switch,param_mu_lut_p1,phase1_ticks,seed,sub_alive,sub_digest,sub_frac_evolved,sub_n_lut,tax
B',34,,0.0,0.0,0.0,0.0,0.0,0.0,0.4842249657958746,-0.003984584215114828,-3.199445403341655e-07,-9.076188334458813e-07,5.967968872252444e-06,0.49382716049512965,,False,55753,0.015,0.06,3.0,29485,36369.0,1216.2261904761908,0.22158649789029672,3.2682481203007554,-0.23651948051948074,14595.0,0.0,100,6,1432,394156398720,0.0,1,0.035
B,38,,-9313821.0,0.0,3.3685802099820876e-13,1.221753285558012e-12,7.302948416820001e-13,-9313821.0,-10048032.0,0.0,4.491440279976116e-13,1.629004380744016e-12,1.0548703268740002e-12,-10048032.0,,True,0,0.015,0.06,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,7,0,0,0.0,0,0.035
B,43,,-9322512.0,0.0,3.3685802099820876e-13,0.0,4.868632277880001e-13,-9322512.0,-10048609.0,0.0,0.0,1.425378833151014e-12,8.92582584278e-13,-10048609.0,,True,0,0.015,0.06,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,8,0,0,0.0,0,0.035
A,22,True,9505.681632653112,1932.721442189737,0.377978019852156,-8.840681216762333,-1.0739893912076008,303.89579158317065,1588.2694512277376,-1372.0178913533798,-0.29020329099435455,-6.116275639950542,-0.6299933090633033,24349.729718632312,,False,15704,0.015,0.06,3.0,9466,9897.0,-2632.02619047619,-0.3205561415846229,4.690503759398499,0.8300779220779222,16208.0,0.06,3000,4,36798,170788675451620,1.0,36798,0.035
C,22,True,8791.693089430919,-2693.385677928418,-0.15938404957184812,-3.712387171030042,11.900132124566781,1262.4419354838901,0.4869684500154108,-4913.086099340921,-0.7148197434074037,-12.229576076419853,4.7657600300095035,19956.838533967268,,False,35809,0.015,0.06,3.0,3332,35809.0,259.71666666666715,-0.11562025316455792,-3.794789473684208,-0.8228311688311687,51161.0,0.06,3000,4,36798,170788675451620,1.0,36798,0.035
A,27,True,4279.528225806542,-7430.48892741573,-1.1691229864807224,-7.52547522994947,-1.3149938809286759,612.3895582329133,3017.332410662202,-521.0880156758947,-0.11477974520554655,-3.7467548718729846,0.9052349451720958,22094.223056999486,,False,20756,0.015,0.06,3.0,17007,12793.0,1636.9547619047607,0.32572562119081083,3.384654135338347,1.991350649350649,14673.0,0.06,3000,5,36632,248428667622729,1.0,36632,0.035
C,27,True,5433.202323232312,-785.7738268841604,-0.6016744151560613,5.951968468272874,-0.25161233130730554,1263.2247741935425,6697.631408726098,843.6547620250576,0.1715796126406412,-5.960110582226079,-0.4452076970244786,15453.60985725309,,False,31622,0.015,0.06,3.0,2658,31622.0,80.04285714286016,-0.05865482887951385,-3.7806015037593963,0.7338571428571399,46653.0,0.06,3000,5,36632,248428667622729,1.0,36632,0.035
A,17,True,34336.333333333256,8166.7103682858615,1.2466444449893113,10.538784188143643,-0.5031489705335307,916.6418511066295,0.5048010973259807,-3723.4022283256795,-0.6694963101573386,-9.353837950723218,-2.725669391477492e-06,29782.62648704971,,False,42696,0.015,0.06,3.0,8359,27558.0,4549.9095238095215,0.7953933427097988,10.524330827067674,1.027337662337662,13701.0,0.06,3000,3,41451,268481697303224,1.0,41451,0.035
C,17,True,5384.951939393883,11904.604494534255,2.093743181457547,4.917438925207418,-6.577815183311059,946.8920563380234,8511.28441735101,-5223.278327206082,-0.3275815794036482,-16.61131693758539,8.506633727572153,44556.193233267506,,False,25116,0.015,0.06,3.0,4466,25116.0,305.4619047619053,0.07844338959212298,-2.7387518796992496,4.120961038961035,42176.0,0.06,3000,3,41451,268481697303224,1.0,41451,0.035
A,26,True,36252.02640264039,7661.0808404097115,1.4035579270176688,10.672640815547151,-1.0052438118510085,907.5231388329994,0.4828532235696912,-848.9470800441048,-0.1546033689548321,-2.2581807096800266,-5.504783273178614e-06,10038.17378065658,,False,38307,0.015,0.06,3.0,19278,24542.0,3923.5357142857138,0.667857829348336,8.277481203007525,0.3478701298701276,13036.0,0.03,3000,5,42501,279323604393001,1.0,42480,0.035
C,26,True,15530.79538271611,9357.029263026534,1.4925126886509277,-2.417218788186961,-2.0023067010975115,2240.7640121703735,1607.2982125899289,2523.6612425032677,0.5638213535349409,-5.102494680877661,-3.4975555637272064,13195.330749745423,,False,26702,0.015,0.06,3.0,7527,26690.0,1044.9619047619053,0.1358797468354423,1.9703157894736838,-1.0976233766233785,34836.0,0.03,3000,5,42501,279323604393001,1.0,42480,0.035
