arm,seed,cog_specificity_mean,cog_load_mean,mean_intake_mean,n_distinct_genomes_mean,excess_pc_slope,excess_activity_slope,final_pop,min_pop,extinct
JOINT,0,16.831088865956954,20.064981091407038,0.04985398787163919,2916.6774193548385,0.002648826328462989,1.447165322580645,4546,238,False
JOINT,1,16.063432385844568,18.95405012561429,0.04961465383248945,2755.6451612903224,0.004693781224817516,1.5280080645161278,4138,166,False
JOINT,2,15.810142517089844,18.759114665369832,0.04947003253525303,2852.7419354838707,0.00263094080494844,1.411504032258064,4191,366,False
LUT_only,0,25.0,25.0,0.053722381111114256,2023.3870967741937,0.0018368653281071376,1.0165443548387096,2610,472,False
LUT_only,1,25.0,25.0,0.05454317444274502,2071.6451612903224,0.00230011394611521,1.4117177419354843,2595,494,False
LUT_only,2,25.0,25.0,0.05428280344893856,2072.3870967741937,0.0017498547580200644,1.0105201612903227,2605,571,False
EGENE_only,0,21.567491346789943,29.614241753855058,0.06000182633438418,137.03225806451613,-26.286821903300325,-6.911278225806451,2534,268,False
EGENE_only,1,21.748139719809256,29.3630430775304,0.061151174527983514,131.32258064516128,-25.402906980602147,-7.069959677419355,2361,266,False
EGENE_only,2,18.600762920994914,28.611358642578125,0.06185690577953092,171.5483870967742,-25.93611732958732,-13.405633064516133,1543,310,False
