F_std_final,F_std_mean,F_std_temporal_std,N,alive_density_final,alive_density_mean,alive_density_temporal_std,base_cfg,cog_load_final,cog_load_mean,cog_load_temporal_std,cog_specificity_final,cog_specificity_mean,cog_specificity_temporal_std,config_idx,correlation_length_final,correlation_length_mean,correlation_length_temporal_std,dyn_excess_pc_final,dyn_excess_pc_slope,eg_excess_pc_final,eg_excess_pc_slope,error,excess_activity_final,excess_activity_slope,excess_pc_final,excess_pc_slope,extinct,final_pop,init,largest_patch_final,largest_patch_mean,largest_patch_temporal_std,mean_intake_final,mean_intake_mean,mean_intake_temporal_std,min_pop,mode,n_distinct_genomes_final,n_distinct_genomes_mean,n_distinct_genomes_temporal_std,n_patches_final,n_patches_mean,n_patches_temporal_std,n_steps,negene_final,negene_mean,negene_temporal_std,param_food_inc,param_gdiff,param_m_scale,param_mu_egene,param_mu_egenome,param_mu_lut,param_restricted_mu,param_tax,param_tax_per_egene,seed,shadow,unique_top_genomes
0.0,0.0021863184225412065,0.01955502645304898,256,0.0,0.0061739697868441355,0.05521142955618739,0,0.0,0.8518518518518519,5.558024142904909,0.0,0.5802469135802469,3.6544044034523546,13,0.0,1.2962962962962963,11.263887937464753,-637776.0,-11.378569105691046,-301414.3333333333,-5.412232685937983,,0.0,0.0,0.0,3.963414634146333e-05,True,0,halfplane,0.0,404.5679012345679,3618.3417146405527,0.0,0.0012729457683033412,0.011385573078387877,0,3b,0.0,0.06172839506172839,0.4539450940950676,0.0,0.07407407407407407,0.561694477337152,8000,0.0,0.037037037037037035,0.24567591039669628,0.01,0.05,2.5,0.003,0.003,0.0,False,0.035,0.0008,0,True,2
0.0,0.002368170538066346,0.021181561221714416,256,0.0,0.006173593026620371,0.055211471165142155,0,0.0,0.43209876543209874,2.9603898292053823,0.0,0.43209876543209874,2.9603898292053823,15,0.0,1.308641975308642,11.266296263151538,-679845.0,-12.12913143631435,-3672.0,-0.06555182926829256,,0.0,0.0,0.0,1.7615176151761536e-05,True,0,halfplane,0.0,404.5679012345679,3618.3417146405527,0.0,0.00023707979715164798,0.0021205061700917834,0,3b,0.0,0.037037037037037035,0.24567591039669628,0.0,0.04938271604938271,0.34787661243470064,8000,0.0,0.024691358024691357,0.15518277888859916,0.01,0.05,2.5,0.01,0.003,0.0,False,0.035,0.0008,0,True,2
0.0,0.002049669439409986,0.018332800791698453,256,0.0,0.006174534927179784,0.055211367528346,0,0.0,1.0603566581820265,7.236212079562565,0.0,0.5502645469006197,3.484559821047797,17,0.0,1.2962962962962963,11.263887937464753,-576767.0,-10.290106820234882,-3350.0,-0.05966962511291763,,0.0,0.0,0.0,6.341463414634145e-05,True,0,halfplane,0.0,404.5925925925926,3618.3389742787563,0.0,0.0005328626728352205,0.004766068636527134,0,3b,0.0,0.07407407407407407,0.561694477337152,0.0,0.08641975308641975,0.6703146647159619,8000,0.0,0.050754458161865565,0.3595325347799907,0.01,0.05,2.5,0.003,0.01,0.0,False,0.035,0.0008,0,True,2
0.0,0.0022014033647231113,0.019689950277670554,256,0.0,0.006172839506172839,0.05521155499999482,0,0.0,0.30864197530864196,2.7605777499997406,0.0,0.30864197530864196,2.7605777499997406,19,0.0,1.2592592592592593,11.26315721999894,-610897.0,-5.518491418247494,-1420.5,-0.012831978319783244,,0.0,0.0,0.0,0.0,True,0,halfplane,0.0,404.5432098765432,3618.3444684796605,0.0,0.0,0.0,0,3b,0.0,0.012345679012345678,0.11042310999998964,0.0,0.012345679012345678,0.11042310999998964,8000,0.0,0.012345679012345678,0.11042310999998964,0.01,0.05,2.5,0.01,0.01,0.0,False,0.035,0.0008,0,True,1
0.0,0.003260778217220012,0.028825491713837834,256,0.0,0.00649741843894676,0.055251577143890715,0,0.0,0.9963672308274257,6.710704129776386,0.0,0.5658485271312572,3.5713354450958943,16,0.0,2.8395061728395063,17.962551435615218,-2584.0,-0.0578549006323397,-194.0,-0.05356286305714784,,0.0,0.288607046070461,0.0,0.00016770753122987412,True,0,halfplane,0.0,414.4074074074074,3618.317274058149,0.0,0.0002604663647987224,0.0023296819901688064,0,3a,0.0,21.28395061728395,190.25767028018086,0.0,3.074074074074074,27.383773593889984,8000,0.0,0.04535586079405,0.313929872911341,0.01,0.05,2.5,0.003,0.01,0.15,False,0.035,0.0008,0,True,2
0.0,0.001999778328118501,0.017886561126415387,256,0.0,0.006172839506172839,0.05521155499999482,0,0.0,0.30864197530864196,2.7605777499997406,0.0,0.30864197530864196,2.7605777499997406,21,0.0,1.2592592592592593,11.26315721999894,-531201.0,-9.47717208672086,-15704.0,-0.14186088527551952,,0.0,0.0,0.0,0.0,True,0,halfplane,0.0,404.5432098765432,3618.3444684796605,0.0,0.0,0.0,0,3b,0.0,0.012345679012345678,0.11042310999998964,0.0,0.012345679012345678,0.11042310999998964,8000,0.0,0.012345679012345678,0.11042310999998964,0.01,0.05,2.5,0.003,0.03,0.0,False,0.035,0.0008,0,True,1
0.0,0.0033957057138100082,0.02952256074817762,256,0.0,0.006673742223668982,0.05533718554410256,0,0.0,0.8387215225784866,5.456402297431685,0.0,0.5079182989803361,3.2672103837282256,18,0.0,2.8395061728395063,17.962551435615218,-2913.0,-0.05890476058972549,-2585.0,-0.05367052976280425,,0.0,0.288607046070461,0.0,0.00010867223977209648,True,0,halfplane,0.0,420.74074074074076,3619.4336975291217,0.0,0.00034100960158271553,0.003050082600476287,0,3a,0.0,32.839506172839506,293.61368996197956,0.0,3.123456790123457,27.825462500365447,8000,0.0,0.04518546376387671,0.31250363412521637,0.01,0.05,2.5,0.01,0.01,0.15,False,0.035,0.0008,0,True,2
0.0,0.0033984198292464386,0.029822055059450077,256,0.0,0.0065722053433641976,0.05528240957878222,0,0.0,0.7307477409456983,4.649095889517284,0.0,0.5833930262812862,3.6729063832963105,12,0.0,2.8395061728395063,17.962551435615218,-2708.0,-0.05832146271353262,-3035.0,-0.05605400333346064,,0.0,0.288607046070461,0.0,0.00013647805390583473,True,0,halfplane,0.0,412.17283950617286,3618.1349563993736,0.0,0.0002271674895360146,0.002031847795522003,0,3a,0.0,26.185185185185187,234.09563895037215,0.0,3.123456790123457,27.825462500365447,8000,0.0,0.03131260191008619,0.2012572415464388,0.01,0.05,2.5,0.003,0.003,0.15,False,0.035,0.0008,0,True,2
0.0,0.003494044524376039,0.030272099323336122,256,0.0,0.006775467484085648,0.05540693812438423,0,0.0,0.7275576179410205,4.62616740534776,0.0,0.5292364049840856,3.3730657131259902,14,0.0,2.8395061728395063,17.962551435615218,-2875.0,-0.05713618174234454,-10322.0,-0.1968192136200942,,0.0,0.288607046070461,0.0,9.052841704334274e-05,True,0,halfplane,0.0,424.82716049382714,3620.624299179012,0.0,0.000286838545659442,0.002565561946646759,0,3a,0.0,39.50617283950617,353.2421658574665,0.0,3.345679012345679,29.813063875176645,8000,0.0,0.03579050552062952,0.23576931483382077,0.01,0.05,2.5,0.01,0.003,0.15,False,0.035,0.0008,0,True,2
0.0,0.0021642906430326863,0.019358004003551272,256,0.0,0.006173404646508488,0.0552114920467375,0,0.0,0.46090534586965304,3.0629284190211514,0.0,0.46090534586965304,3.0629284190211514,23,0.0,1.271604938271605,11.262318189627749,-561252.0,-10.013303523035244,-3539.0,-0.06455149051490504,,0.0,0.0,0.0,1.7615176151761536e-05,True,0,halfplane,0.0,404.55555555555554,3618.3430898754455,0.0,0.00025493847091256834,0.002280239004161422,0,3b,0.0,0.04938271604938271,0.34787661243470064,0.0,0.04938271604938271,0.34787661243470064,8000,0.0,0.024691358024691357,0.15518277888859916,0.01,0.05,2.5,0.01,0.03,0.0,False,0.035,0.0008,0,True,2
0.0,0.003381343627417529,0.0292718759481372,256,0.0,0.006788465711805556,0.05541692098985708,0,0.0,1.0231311468430508,6.929598034122156,0.0,0.5157696759259259,3.3053114312443492,22,0.0,2.8395061728395063,17.962551435615218,-2558.0,-0.05148869208930188,-1502.0,-0.033826739656179085,,0.0,0.288607046070461,0.0,8.840228754508082e-05,True,0,halfplane,0.0,426.25925925925924,3621.1287571687526,0.0,0.0006337891114346775,0.005668782146268513,0,3a,0.0,40.358024691358025,360.86136008311627,0.0,2.9876543209876543,26.610818289811117,8000,0.0,0.054932227208848994,0.3952605096603531,0.01,0.05,2.5,0.01,0.03,0.15,False,0.035,0.0008,0,True,2
0.0,0.003389471451993342,0.027046950238304224,256,0.0,0.007545565381462191,0.05641027103980536,0,0.0,1.4347925068419656,10.410707777981377,0.0,0.5776114758150077,3.6390007329124034,8,0.0,2.2962962962962963,14.501123365973116,-5016.0,-0.09412212135574259,-1264716.0,-22.567261490514973,,0.0,0.288607046070461,0.0,4.1389899172184606e-05,True,0,halfplane,0.0,490.82716049382714,3690.2844240817435,0.0,0.00014071788546847708,0.0012586190302301785,0,3a,0.0,89.9753086419753,804.6518298565979,0.0,2.382716049382716,21.200144363143792,8000,0.0,0.06403590361323311,0.47399082999915476,0.01,0.05,2.5,0.003,0.03,0.15,False,0.035,0.0,0,True,2
0.0,0.05330483040507929,0.12563844110760272,256,0.0,0.03673958484037423,0.10435135747676116,0,0.0,9.18268182542589,20.279695857687024,0.0,3.7544177020037615,7.929245932109933,0,0.0,10.604938271604938,26.448962738346868,-36835.5,-4.568569615971354,-207591.5,-30.389728007800834,,0.0,0.5948724028906948,0.0,0.0037723298751814833,True,0,halfplane,0.0,1759.1975308641975,5416.676244822877,0.0,0.009189209544364318,0.026973843389835057,0,3a,0.0,2003.2222222222222,5941.0843483801755,0.0,36.55555555555556,104.79963245623985,8000,0.0,0.463358425638806,1.037333145680629,0.01,0.05,2.5,0.003,0.003,0.15,False,0.035,0.0,0,True,15
0.3166075050830841,0.31610339913045826,0.06785185380883525,256,0.095855712890625,0.11064637737509644,0.05328206413906101,0,58.9371223449707,57.988902480513964,8.223856134744858,16.420942306518555,16.96316185703984,1.4093893826304458,20,40.0,40.30864197530864,15.142648442708847,24931.343287128708,2.8656655094714676,171773.9561968895,18.560684491110838,,-2.0,-0.00011449864498644991,-0.0003183699458770839,-1.0725957563485445e-08,False,6282,halfplane,1659.0,1633.3333333333333,3516.14808884894,0.08752822130918503,0.08537408727922557,0.013548729651204018,1,3a,6282.0,6846.777777777777,2154.1524872375226,520.0,538.9506172839506,155.66749157006973,8000,3.5891435848455906,3.438653890938009,0.5000320665234904,0.01,0.05,2.5,0.003,0.03,0.15,False,0.035,0.0008,0,True,80
0.3737165927886963,0.31194251748146834,0.08903524206467875,256,0.3439178466796875,0.18102669421537423,0.12136318982143424,0,62.61768341064453,63.21608338532624,7.071638981466679,14.118764877319336,14.628392137127157,1.5710726277884874,7,94.0,66.87654320987654,24.324647214804084,0.0,0.0,0.5144032922107726,3.5754058150412473,,-872808.0,-115.4122448057814,-928187.6114104596,-115.1109138956097,False,22539,halfplane,17503.0,7976.407407407408,6336.94533604669,0.05111594498157501,0.05167207808268291,0.02986422362945266,8,3b,12620.0,6418.135802469136,4326.776802664566,1152.0,724.0864197530864,498.94558444316345,8000,4.435068104174985,4.3696623102184375,0.5896423830620676,0.01,0.05,2.5,0.01,0.01,0.0,False,0.035,0.0,0,True,78
0.26157549023628235,0.31813383801483813,0.08314136908917333,256,0.0100250244140625,0.17784834496768903,0.12005566966271161,0,60.50532913208008,63.29779029186861,6.814275601564237,13.764542579650879,15.099605630945277,1.522467777886092,11,60.0,66.8641975308642,22.79416921675298,0.0,0.0,8323.462025316432,1.8942880331482235,,-910520.0,-114.01301626016263,-911313.2488986785,-114.09969004544311,False,657,halfplane,20.0,6884.679012345679,5991.010046598854,0.012144542299211025,0.05109322824181966,0.0267175808269504,43,3b,454.0,7247.580246913581,4930.499393393309,330.0,705.0,483.41876639586894,8000,4.395738203957382,4.220304040964019,0.4184332003092951,0.01,0.05,2.5,0.01,0.03,0.0,False,0.035,0.0,0,True,75
0.29025891423225403,0.28110512300038043,0.11026026747193671,256,0.0983428955078125,0.13887494876060957,0.13711781342890916,1,18.29681968688965,17.36621144965843,7.211473341600644,10.889555931091309,10.980350935900653,3.135571553216477,39,53.0,59.864197530864196,25.37752144568917,0.0,0.0,143194.29112108744,35.792588490761695,,-462504.0,-59.55322764227645,-704172.013143483,-88.06097371026377,False,6445,halfplane,3070.0,4881.271604938272,6256.487633367276,0.08721422404050827,0.06175636313855648,0.032238992960535506,47,3b,913.0,1522.0740740740741,1565.280306832446,218.0,706.1851851851852,622.9409561445207,8000,1.6802172226532195,1.5293037684341313,0.373700172049745,0.013,0.05,2.5,0.01,0.003,0.0,True,0.03,0.0008,0,True,29
0.3156813085079193,0.2890286848500923,0.05957445306206688,256,0.2934112548828125,0.23591802149643132,0.09943621031718619,0,68.84210968017578,60.62401792738173,10.548879527137807,14.659310340881348,14.481209837360147,1.551491952481651,3,44.0,54.629629629629626,17.309416865062346,0.0,0.0,1754.9267297253245,-0.6293442283147819,,-1200278.0,-157.65179855465223,-1219576.1018882769,-157.94556651551642,False,19229,halfplane,7454.0,9119.111111111111,5758.959274550041,0.044313061982393265,0.04538557974385948,0.026649705232755463,36,3b,10168.0,7670.567901234568,3434.6791211323525,1019.0,851.1358024691358,381.6729177261476,8000,4.696136044516096,4.258742273561608,0.8998120167596362,0.01,0.05,2.5,0.01,0.003,0.0,False,0.035,0.0,0,True,81
0.3085605800151825,0.3360749810566137,0.0812412478149155,256,0.112548828125,0.2016211615668403,0.1341963865822987,0,55.87689971923828,56.75743340857235,9.652614569813338,15.149715423583984,14.355375596034675,1.575748299384127,2,63.0,72.5679012345679,19.37794232320871,18920.467868131847,2.3730682465082946,38971.10547401197,6.126559271236503,,-580.0,0.26067637759710965,-0.07863340563991339,2.9300841205801438e-05,False,7376,halfplane,4971.0,10156.012345679012,7631.215626498782,0.030289093032479286,0.038423208669287924,0.021058038556746376,9,3a,7376.0,12808.864197530864,8638.074334950215,320.0,294.9259259259259,154.1265936128823,8000,3.688313449023861,4.015612606120023,0.8091352818309699,0.01,0.05,2.5,0.01,0.003,0.15,False,0.035,0.0,0,True,81
0.37037163972854614,0.34085183139936426,0.07978459584880446,256,0.4234161376953125,0.19832450960889275,0.12164139804644893,0,56.054054260253906,64.76007970174153,9.436664094921422,14.145929336547852,15.18201188687925,2.2936344799334996,4,72.0,70.65432098765432,20.59495353135557,2801.826823529409,3.553111947267424,113229.90479252394,27.101416385706443,,-165.0,0.27519467028003636,-0.005946160221990127,3.9040773950463314e-05,False,27749,halfplane,26466.0,8793.814814814816,6963.652828709432,0.03594637289643288,0.04359873311801089,0.0349628435653184,22,3a,27749.0,12592.864197530864,7787.619568078119,551.0,258.5061728395062,150.24335185528466,8000,3.9625572092688026,4.307246484730733,0.5148930582023609,0.01,0.05,2.5,0.003,0.01,0.15,False,0.035,0.0,0,True,81
