F_std_final,F_std_mean,F_std_temporal_std,N,alive_density_final,alive_density_mean,alive_density_temporal_std,config_idx,correlation_length_final,correlation_length_mean,correlation_length_temporal_std,error,excess_activity_final,excess_activity_slope,extinct,final_pop,init,largest_patch_final,largest_patch_mean,largest_patch_temporal_std,min_pop,n_distinct_genomes_final,n_distinct_genomes_mean,n_distinct_genomes_temporal_std,n_patches_final,n_patches_mean,n_patches_temporal_std,n_steps,param_food_inc,param_gdiff,param_m_scale,param_mu_egenome,param_mu_lut,param_restricted_mu,param_tax,seed,shadow,unique_top_genomes
0.12782791256904602,0.17017222021646167,0.07743842911580631,256,0.2505035400390625,0.24717583347908892,0.05188490012551256,3,1.0,18.915422885572138,31.542876306968104,,227359.0,53.09520744790898,False,16417,halfplane,9.0,1747.2089552238806,4708.772044311865,5,12390.0,13035.293532338308,2687.012557837806,11075.0,8717.786069651742,3932.7963718571186,5000,0.01,0.15,1.2,0.001,0.01,True,0.04,0,True,107
0.09616918116807938,0.12681947266729318,0.07552353268104446,256,0.2498016357421875,0.24915902057097325,0.046329185904105404,9,1.0,9.90547263681592,21.709892279478606,,461314.0,117.69806655829764,False,16371,halfplane,8.0,971.1243781094528,4014.54242412225,1352,7114.0,7735.353233830846,1487.2307096357215,11186.0,9779.910447761195,3230.6359495843176,5000,0.01,0.2,0.7,0.01,0.003,True,0.04,0,True,49
0.31427475810050964,0.2761420942286947,0.08141213121047991,256,0.273101806640625,0.23279385542988185,0.13811847611161637,2,52.0,66.77114427860697,18.47432972775011,,102663.0,23.333574464312104,False,17898,halfplane,1623.0,6224.119402985075,6582.496356569473,7,16940.0,14094.985074626866,8224.878092506488,6740.0,2694.094527363184,2073.5771519272985,5000,0.01,0.12,1.2,0.01,0.01,False,0.04,0,True,188
0.29777342081069946,0.3125105069496145,0.04696476385091458,256,0.265533447265625,0.2660614317329369,0.07301098730508992,1,45.0,62.308457711442784,19.220749000720787,,107461.0,29.521503945618445,False,17402,halfplane,694.0,3656.2139303482586,3809.9367081885966,5223,16615.0,16215.835820895523,4290.0507213727315,7585.0,4061.636815920398,2067.0093839821966,5000,0.01,0.08,0.7,0.01,0.01,False,0.035,0,True,164
0.3187890648841858,0.33582463111746963,0.07086666084196079,256,0.12701416015625,0.3086264690949549,0.1797571796519563,8,72.0,65.61691542288557,16.892328396185885,,-94085.0,45.59879781291563,False,8324,halfplane,2499.0,12390.353233830845,11624.371891429262,2861,2758.0,5257.427860696517,2753.216161123305,1698.0,1369.2686567164178,398.0463577875658,5000,0.013,0.06,0.8,0.001,0.001,True,0.035,0,True,162
0.38183867931365967,0.37004920158220167,0.04221620141149189,256,0.2188720703125,0.2689385105721393,0.09395575321626003,5,72.0,66.55223880597015,17.10571483634562,,-5471.0,1.4484523718043478,False,14344,halfplane,3669.0,6901.800995024875,5661.736138297201,2895,14338.0,17396.462686567163,6016.57375514464,1713.0,1570.4776119402984,329.2965074173764,5000,0.013,0.06,1.2,0.01,0.03,True,0.04,0,True,165
0.08611496537923813,0.09547571949104765,0.04907841328047834,256,0.3721466064453125,0.37224514330204445,0.03358306452024604,4,1.0,4.736318407960199,17.470803630076833,,732076.0,159.5258513373726,False,24389,halfplane,16.0,697.8159203980099,4262.94954075347,12707,10114.0,10584.283582089553,1406.1661487851136,10899.0,10490.820895522387,1923.7300515418394,5000,0.013,0.2,0.7,0.001,0.003,True,0.035,0,True,1
0.25717875361442566,0.2955735309503565,0.048489460068155285,256,0.4275970458984375,0.4183015586131841,0.07182125132691963,6,1.0,30.104477611940297,25.015697158566276,,162870.0,54.40067622284618,False,28023,halfplane,195.0,4776.26368159204,6446.867900499584,10770,25977.0,25462.641791044774,4589.182293224204,8100.0,5429.835820895522,2187.9962727260604,5000,0.013,0.06,0.7,0.01,0.01,True,0.03,0,True,124
0.12961581349372864,0.1392409023064286,0.0466553563900045,256,0.4504852294921875,0.44835826057699785,0.03856349056844717,0,1.0,5.2835820895522385,18.048695301711074,,722828.0,180.34328358208955,False,29523,halfplane,43.0,944.179104477612,4391.92897904512,9116,21516.0,20978.587064676616,2423.934229283538,7969.0,7548.313432835821,1397.1126822964172,5000,0.018,0.15,1.2,0.01,0.003,False,0.04,0,True,56
0.296520471572876,0.3111050514439445,0.04418917495470158,256,0.5016632080078125,0.49911924143928793,0.1003064445895326,7,13.0,55.69651741293532,25.580668186865502,,57922.0,20.461070370917692,False,32877,halfplane,875.0,9122.1592039801,10235.68358305712,13591,31287.0,30652.935323383084,6455.16376512811,4231.0,3550.2487562189053,1126.5700057791964,5000,0.018,0.06,0.8,0.001,0.01,True,0.035,0,True,139
0.17272301018238068,0.17760674865795903,0.03824841185959958,256,0.5995025634765625,0.5991046203309623,0.0634719874970828,10,1.0,7.039800995024875,22.141525965924306,,-103250.0,-14.52906203635289,False,39289,halfplane,35756.0,35383.18407960199,5968.909508223297,11398,9668.0,9434.960199004976,1134.3068624130656,589.0,688.0646766169154,604.4551930408487,5000,0.018,0.08,1.2,0.001,0.001,True,0.03,0,True,1
0.09221317619085312,0.09929603316001039,0.04259483442660208,256,0.59991455078125,0.6006569933535447,0.024931143144379123,11,1.0,4.8059701492537314,18.74779361291197,,1660583.0,341.8190353184573,False,39316,halfplane,37879.0,36396.99004975124,3907.9251992694376,29557,19378.0,18652.51741293532,1729.0425501542907,346.0,506.12935323383084,478.38614805492165,5000,0.018,0.15,0.7,0.01,0.003,True,0.03,0,True,1
0.0828866958618164,0.12159814537312855,0.08303929248108487,256,0.228668212890625,0.22706110560478857,0.05191545929464099,13,1.0,12.890547263681592,25.994028403381915,,447956.0,110.3278516920349,False,14986,halfplane,6.0,1110.1044776119404,4056.0320320241335,14,6982.0,7455.164179104478,1599.7436230885203,10717.0,8933.771144278608,3451.6187877694097,5000,0.008,0.2,0.8,0.01,0.003,True,0.035,0,True,45
0.27655255794525146,0.29261303926581766,0.036248731347214236,256,0.249908447265625,0.24056680404131686,0.046070787107719106,12,12.0,29.965174129353233,19.6669731258995,,44948.0,14.273231328505988,False,16378,halfplane,111.0,695.5223880597015,3354.8851825073293,4174,16372.0,15541.55223880597,2660.6432429351703,8129.0,6538.885572139304,2125.020332789068,5000,0.01,0.08,0.7,0.01,0.03,False,0.04,0,True,125
0.16414757072925568,0.18783333912417663,0.06024778565559255,256,0.324676513671875,0.32166962125408116,0.03897964677265626,15,1.0,8.253731343283581,19.021598054441668,,120181.0,31.447893896852374,False,21278,halfplane,13.0,993.6119402985074,3769.905704860404,8505,20414.0,19966.009950248757,2488.2805867723114,11438.0,10040.179104477613,3098.5542444392568,5000,0.013,0.12,0.7,0.01,0.01,False,0.04,0,True,92
0.07271771132946014,0.08483024493823597,0.05413328457324388,256,0.3321380615234375,0.3350677490234375,0.045276776071601715,17,1.0,6.064676616915423,19.069675753749326,,37103.0,16.041212294960847,False,21767,halfplane,12.0,797.363184079602,4142.062635698255,3279,4277.0,4252.577114427861,481.19830241015995,11923.0,11098.796019900497,2376.491230855359,5000,0.01,0.2,1.0,0.001,0.001,True,0.03,0,True,3
0.2813796401023865,0.29632252929222525,0.033443383983243084,256,0.1949310302734375,0.19183349609375,0.04587013373462431,20,15.0,30.5273631840796,16.54033205801777,,27389.0,8.81011165952416,False,12775,halfplane,71.0,618.9701492537314,3356.8030113219893,3889,12166.0,11714.358208955224,2119.1598121654933,6481.0,5186.308457711443,1637.4383750898915,5000,0.008,0.08,0.7,0.001,0.01,False,0.04,0,True,166
0.29698899388313293,0.31236888787046596,0.03994223829788241,256,0.5194244384765625,0.499499952022116,0.07851559471238274,14,20.0,38.308457711442784,22.96188444841453,,79893.0,21.35711032954042,False,34041,halfplane,986.0,6390.800995024875,8032.139349980891,9897,34038.0,32450.592039800995,5606.070045580641,3910.0,3669.129353233831,985.5528605707477,5000,0.018,0.06,0.7,0.001,0.03,False,0.035,0,True,96
0.16347050666809082,0.2513529625698109,0.074687157418174,256,0.257415771484375,0.2419383490263526,0.06378012660898569,21,1.0,47.73134328358209,39.49277234317462,,94115.0,32.950680951677256,False,16870,halfplane,486.0,3485.63184079602,5103.6760406730755,54,16263.0,14818.791044776119,3581.4036140715807,10755.0,5777.089552238806,3935.22073469664,5000,0.01,0.12,1.0,0.01,0.01,False,0.04,0,True,166
0.21141913533210754,0.222991715245579,0.043022313847857846,256,0.5136566162109375,0.5110163143025109,0.053936709159549935,16,1.0,8.27363184079602,20.239849153956328,,353365.0,113.99147474508649,False,33663,halfplane,136.0,2381.129353233831,7102.633134687044,10500,24506.0,23836.079601990048,3244.6996846264165,4514.0,4290.805970149254,893.2102632038637,5000,0.018,0.08,1.0,0.001,0.003,False,0.035,0,True,60
