F_std_final,F_std_mean,F_std_temporal_std,N,alive_density_final,alive_density_mean,alive_density_temporal_std,config_idx,correlation_length_final,correlation_length_mean,correlation_length_temporal_std,error,excess_activity_final,excess_activity_slope,extinct,final_pop,init,largest_patch_final,largest_patch_mean,largest_patch_temporal_std,min_pop,n_distinct_genomes_final,n_distinct_genomes_mean,n_distinct_genomes_temporal_std,n_patches_final,n_patches_mean,n_patches_temporal_std,n_steps,param_food_inc,param_gdiff,param_m_scale,param_mu_egenome,param_mu_lut,param_restricted_mu,param_tax,seed,shadow,unique_top_genomes
0.4122583568096161,0.2884394119479763,0.0967692277735388,256,0.2509002685546875,0.21879699099716263,0.19189813809271988,3,85.0,65.82089552238806,22.140837332969248,,-2046.0,2.280178040490617,False,16443,halfplane,5009.0,10039.592039800995,11205.122187044784,79,16427.0,14102.288557213931,12445.554692671478,318.0,482.4228855721393,262.37921224544283,5000,0.008,0.06,1.2,0.001,0.03,True,0.03,0,True,166
0.19197702407836914,0.2844179259307349,0.09780465436750148,256,0.02459716796875,0.2214962783737562,0.1942480234390179,11,30.0,64.96517412935323,25.01330553576237,,140.0,2.8062534653465363,False,1612,halfplane,569.0,9737.562189054726,10933.60646792202,159,1510.0,13254.407960199005,11652.443503178314,338.0,654.1990049751244,329.9874567177512,5000,0.008,0.06,1.0,0.001,0.01,False,0.03,0,True,170
0.19516344368457794,0.30030295553047265,0.09181488608493177,256,0.1199188232421875,0.24227753444690608,0.18838761839568088,10,53.0,65.9950248756219,21.37732501973484,,-8736.0,3.1658438303531855,False,7859,halfplane,1897.0,11501.910447761195,11353.555536716845,43,7443.0,14419.019900497513,11371.940958945104,833.0,495.6517412935323,268.1536058452574,5000,0.01,0.08,1.2,0.001,0.01,True,0.035,0,True,175
0.4299028813838959,0.33159588596121,0.07464499515547758,256,0.5030517578125,0.2316300880849658,0.1539941286761464,4,70.0,74.43283582089552,18.57529296871365,,-6897.0,1.6168917393231872,False,32968,halfplane,31679.0,11105.865671641792,9128.259995973778,402,32937.0,14949.626865671642,9942.069140330852,659.0,654.0248756218906,224.27709047415362,5000,0.01,0.06,1.2,0.001,0.03,True,0.035,0,True,166
0.45334169268608093,0.30826830226390517,0.08759518236218597,256,0.5296478271484375,0.24240157853311567,0.17941744531965173,5,71.0,68.87562189054727,21.074363779076563,,-4116.0,1.5357076991281229,False,34711,halfplane,28941.0,11055.985074626866,10389.893556442486,214,34690.0,15651.393034825871,11653.061914784554,620.0,554.1592039800995,269.7843150447084,5000,0.01,0.08,1.2,0.01,0.03,True,0.035,0,True,165
0.24344414472579956,0.2962844004826759,0.0911251283684322,256,0.17626953125,0.29018079463522234,0.2128668036751701,8,74.0,72.61194029850746,18.712505641402498,,-24918.0,3.896875247524756,False,11552,halfplane,5300.0,13373.611940298508,12000.557727862399,82,7639.0,11937.860696517413,8782.007483106061,1504.0,944.5223880597015,675.0618108764189,5000,0.013,0.06,1.2,0.01,0.003,False,0.035,0,True,181
0.24801534414291382,0.2594771332186253,0.09194202720440668,256,0.56646728515625,0.31327713544095925,0.2162843288277887,7,59.0,65.83582089552239,16.68490277301717,,114898.0,24.889488517807006,False,37124,halfplane,18299.0,11261.865671641792,12185.285062181867,232,37053.0,20269.258706467663,14153.796067737476,4950.0,2320.582089552239,1569.7558686121863,5000,0.01,0.08,1.2,0.01,0.03,True,0.03,0,True,123
0.2593514323234558,0.28418801450610753,0.08454994331529814,256,0.651702880859375,0.32545660977339863,0.19977503420567633,0,74.0,78.8407960199005,17.682510328164827,,-7062.0,6.464814895817952,False,42710,halfplane,34541.0,14030.328358208955,11641.364168478114,269,27718.0,13605.0,8128.672549250297,2141.0,1650.134328358209,709.2716934925029,5000,0.013,0.08,1.2,0.001,0.003,False,0.035,0,True,189
0.19627819955348969,0.30032098397093626,0.09480606777369101,256,0.362060546875,0.30934621326958955,0.2344644506468948,6,65.0,61.63681592039801,21.840954679327165,,-12363.0,3.004348810403429,False,23728,halfplane,17184.0,14613.119402985074,15243.930614600615,985,23714.0,20034.094527363184,15339.202346370732,1407.0,875.3333333333334,315.9442033574244,5000,0.013,0.06,1.2,0.001,0.03,True,0.035,0,True,165
0.3158826529979706,0.350596247324303,0.05384130017579342,256,0.286773681640625,0.3199709612338697,0.13636731302696722,9,91.0,66.34328358208955,20.893393637123676,,-12309.0,3.6103765331757054,False,18794,halfplane,11082.0,12036.47263681592,9301.147424026785,7262,18786.0,20741.034825870647,8936.304774272621,2280.0,1905.323383084577,496.4000452015661,5000,0.013,0.06,0.8,0.001,0.03,False,0.035,0,True,167
