F_std_final,F_std_mean,F_std_temporal_std,N,alive_density_final,alive_density_mean,alive_density_temporal_std,config_idx,correlation_length_final,correlation_length_mean,correlation_length_temporal_std,error,excess_activity_final,excess_activity_slope,extinct,final_pop,init,largest_patch_final,largest_patch_mean,largest_patch_temporal_std,min_pop,n_distinct_genomes_final,n_distinct_genomes_mean,n_distinct_genomes_temporal_std,n_patches_final,n_patches_mean,n_patches_temporal_std,n_steps,param_food_inc,param_gdiff,param_m_scale,param_mu_egenome,param_mu_lut,param_restricted_mu,param_tax,seed,shadow,unique_top_genomes
0.0,0.015025311387052723,0.039277843524140106,256,0.0,0.011225083295036764,0.06944782282861198,11,0.0,9.529411764705882,25.61889080972566,,0.0,2.0672950226244358,True,0,halfplane,0.0,654.8823529411765,4541.728070736083,0,0.0,87.84313725490196,438.26647693594356,0.0,12.0,43.68784099701417,5000,0.015,0.01,0.6,0.001,0.03,True,0.035,0,True,16
0.0,0.02644039103281958,0.06827379853279951,256,0.0,0.01380022834329044,0.07077172653482325,4,0.0,8.03921568627451,17.6000900001194,,0.0,3.319300452488688,True,0,halfplane,0.0,718.8039215686274,4556.814022975332,0,0.0,261.7647058823529,1098.2391358618754,0.0,31.137254901960784,95.09046664816825,5000,0.015,0.005,0.4,0.001,0.03,False,0.025,0,True,14
0.0,0.029890052937701635,0.06805570609258038,256,0.0,0.014281927370557598,0.07180510004303665,13,0.0,11.705882352941176,19.978708389866842,,0.0,3.2945466063348423,True,0,halfplane,0.0,749.6666666666666,4572.531716746599,0,0.0,270.6666666666667,1264.370286831442,0.0,20.254901960784313,55.99084068556805,5000,0.015,0.005,0.6,0.001,0.01,False,0.025,0,True,25
0.45129451155662537,0.437446745002971,0.06536227326290592,256,0.49505615234375,0.4673309326171875,0.09036092099104047,0,16.0,25.980392156862745,24.985085901258607,,-60540.0,-5.143332126696831,False,32444,halfplane,932.0,2833.098039215686,4798.716328577156,8204,20912.0,18971.235294117647,5039.887337630597,4246.0,3548.078431372549,1107.7480927475228,5000,0.015,0.02,0.6,0.001,0.003,True,0.025,0,True,47
0.017998473718762398,0.03361749838964612,0.07355168601289236,256,0.999969482421875,0.9803254370595894,0.08466675884718791,8,1.0,8.333333333333334,28.00676855632082,,32075.0,5.2950832579185505,False,65534,halfplane,65534.0,63923.13725490196,6490.895056016537,32768,55173.0,53017.549019607846,8214.974379236897,1.0,3.764705882352941,11.801608789124218,5000,0.025,0.02,0.4,0.001,0.03,False,0.025,0,True,1
0.01419465709477663,0.025465888245140806,0.06864318896040586,256,0.9998626708984375,0.9822441549862132,0.0815377342247528,7,1.0,7.0,25.28581715151021,,-9939.0,-1.7051565610859727,False,65527,halfplane,65527.0,63992.23529411765,6306.952859821392,32768,7826.0,7311.882352941177,1263.780860984428,1.0,2.7450980392156863,8.70619148011503,5000,0.025,0.02,0.4,0.001,0.001,True,0.025,0,True,1
0.01275030430406332,0.02792460590089653,0.07336931213654292,256,1.0,0.9816550460516238,0.08169790358402546,10,0.0,6.098039215686274,22.09716058590439,,5253.0,0.6744751131221718,False,65536,halfplane,65536.0,63956.705882352944,6407.596889153293,32768,43742.0,42211.13725490196,6576.248438903497,1.0,5.078431372549019,20.195945173746544,5000,0.025,0.005,0.6,0.001,0.01,True,0.025,0,True,1
0.4646899998188019,0.45044543637948875,0.06652198138782708,256,0.556396484375,0.5178889854281556,0.10285993089819277,3,13.0,32.411764705882355,31.44941563757007,,-274054.0,-71.33394660633482,False,36464,halfplane,4850.0,5739.274509803921,7899.8496289447485,13111,24130.0,21324.960784313724,5846.123941186761,3384.0,2902.843137254902,1070.3781148395237,5000,0.015,0.01,0.6,0.001,0.003,False,0.02,0,True,23
0.014710523188114166,0.02518670264558465,0.06433988788833855,256,0.9999542236328125,0.9837718290441176,0.0783294032288103,5,1.0,6.490196078431373,25.272144278476674,,43104.0,8.606714932126694,False,65533,halfplane,65533.0,64321.78431372549,5693.511991435224,32768,44951.0,43026.94117647059,6572.855413795244,1.0,3.450980392156863,12.141831314356258,5000,0.025,0.01,0.6,0.01,0.01,True,0.025,0,True,1
0.45529597997665405,0.43881185498892095,0.0684638648435369,256,0.5172119140625,0.49097367828967525,0.09136423481364624,9,16.0,23.784313725490197,25.533763672324636,,-17809.0,3.646685972850677,False,33896,halfplane,1677.0,2572.5882352941176,4747.213123327513,7103,31844.0,29469.686274509804,7068.344165001422,4142.0,3610.2156862745096,1061.2687248857414,5000,0.025,0.02,0.6,0.001,0.01,True,0.035,0,True,40
0.01237679086625576,0.02036230865062452,0.054939867669558703,256,1.0,0.9853168562346813,0.07673472079870985,2,0.0,4.549019607843137,19.228567111370477,,584346.0,122.64893846153844,False,65536,halfplane,65536.0,64411.490196078434,5617.567414964292,32768,39026.0,31929.450980392157,8929.029530987349,1.0,1.803921568627451,5.54489557829908,5000,0.025,0.02,0.4,0.001,0.001,False,0.02,0,True,1
0.015428869053721428,0.020768100267970095,0.04319449289715267,256,1.0,0.9876284131816789,0.07131018700346511,1,0.0,3.6666666666666665,18.226964152656425,,414538.0,115.48650678733028,False,65536,halfplane,65536.0,64494.25490196078,5300.694127106623,32768,38767.0,30858.43137254902,9088.184376700228,1.0,1.803921568627451,5.6845839271859715,5000,0.04,0.02,0.6,0.01,0.001,True,0.035,0,True,1
0.011552181094884872,0.01788045060546959,0.045397414988745804,256,1.0,0.9871069216260723,0.07226629015323713,6,0.0,3.7254901960784315,18.49226487085412,,2204.0,-0.5532244343891404,False,65536,halfplane,65536.0,64472.60784313725,5381.189281330579,32768,65522.0,64029.17647058824,9174.232351721203,1.0,1.5294117647058822,3.7435064886346634,5000,0.04,0.05,0.6,0.01,0.03,True,0.02,0,True,49
0.014848724938929081,0.019404719857608572,0.04048899888158817,256,1.0,0.9880188586665135,0.07071186334548035,12,0.0,3.5294117647058822,17.630580541837368,,361344.0,103.87561719457011,False,65536,halfplane,65536.0,64493.35294117647,5303.984287911581,32768,39212.0,32025.392156862745,8824.461394614209,1.0,1.6470588235294117,4.575396819442367,5000,0.04,0.05,0.6,0.001,0.001,False,0.035,0,True,1
0.018640832975506783,0.03863875136948099,0.08216296600588217,256,1.0,0.9778253891888786,0.08792908734834341,14,0.0,8.490196078431373,27.839436373759654,,23238.0,4.024408144796379,False,65536,halfplane,65536.0,63525.92156862745,7039.336930792634,32768,46042.0,43853.86274509804,7149.534047671089,1.0,5.509803921568627,18.063474736866006,5000,0.025,0.01,0.4,0.01,0.01,False,0.025,0,True,1
0.0,0.02359340235481938,0.07160172056053983,256,0.0,0.014255000095741422,0.07138515632946171,26,0.0,8.313725490196079,21.02611839470552,,0.0,3.302742081447964,True,0,halfplane,0.0,734.1372549019608,4567.654072525537,0,0.0,270.88235294117646,1177.2413191075445,0.0,35.13725490196079,101.61230039943214,5000,0.015,0.01,0.6,0.01,0.01,False,0.025,0,True,10
0.013352200388908386,0.021903275895644638,0.05204872807146961,256,1.0,0.985996919519761,0.0748675779973612,17,0.0,3.7254901960784315,18.49226487085412,,52765.0,13.116205429864237,False,65536,halfplane,65536.0,64433.333333333336,5535.0563440696915,32768,53928.0,49945.35294117647,9590.85386786016,1.0,2.0784313725490198,7.625661365737277,5000,0.04,0.005,0.6,0.01,0.003,True,0.035,0,True,22
0.009104336611926556,0.021049053134287104,0.06022070770350987,256,1.0,0.9842684876685049,0.07787115534325324,19,0.0,6.254901960784314,25.326761121626998,,17808.0,-3.5820416289592742,False,65536,halfplane,65536.0,64356.705882352944,5655.081255962113,32768,63942.0,61831.76470588235,9613.567264677551,1.0,1.9019607843137254,4.468867918058261,5000,0.025,0.05,0.4,0.01,0.01,False,0.02,0,True,38
0.0149052320048213,0.02803394448596473,0.06010214140228441,256,1.0,0.9835223029641544,0.07942275422333436,21,0.0,6.294117647058823,25.456070671361964,,53320.0,2.299943891402707,False,65536,halfplane,65536.0,64318.92156862745,5734.314048052449,32768,54000.0,49830.92156862745,10241.883753361877,1.0,2.392156862745098,7.093433669972255,5000,0.04,0.05,0.4,0.001,0.003,True,0.035,0,True,17
0.013012091629207134,0.024986261903655296,0.06318024771669829,256,1.0,0.9840078914866728,0.0780627924780912,22,0.0,6.470588235294118,25.27678384634334,,45740.0,9.167521266968324,False,65536,halfplane,65536.0,64331.333333333336,5697.780037828516,32768,46092.0,44244.882352941175,6707.132173005029,1.0,3.843137254901961,14.100997807858827,5000,0.025,0.01,0.6,0.01,0.01,False,0.025,0,True,1
